@relation career_satisfaction_5class_kuet_classification

@attribute Years_Since_Grad numeric
@attribute Professional_Status {'Currently seeking a job', Employed, 'Founder / Entrepreneur', 'Higher studies'}
@attribute Univ_Studies_Effect numeric
@attribute Help_Lecture numeric
@attribute Help_Lab numeric
@attribute Help_Thesis numeric
@attribute Help_Club numeric
@attribute Help_Alumni numeric
@attribute Club_Count numeric
@attribute Internship_Exp numeric
@attribute Projects_Built numeric
@attribute GitHub_Habit numeric
@attribute Contest_Involvement numeric
@attribute Problem_Solving numeric
@attribute Current_Domain {Academia, Cybersecurity, 'Data Science / ML / AI', 'Database Administration', Entrepreneurship, 'Government Service', 'Networking / DevOps / Cloud', 'Not Applicable', 'Software Engineer', 'Web Developer'}
@attribute Domain_Switched numeric
@attribute Domain_Shift_Intent numeric
@attribute AI_Usage_Freq numeric
@attribute AI_Concerns_Opinion {Concerned, Neutral, Positive}
@attribute AI_Reliance numeric
@attribute Career_Satisfaction {'Very Dissatisfied', Dissatisfied, Neutral, Satisfied, 'Very Satisfied'}

@data
4,Employed,4,4,3,5,2,1,3,1,5,2,3,3,'Software Engineer',1,1,3,Neutral,4,Satisfied
7,'Founder / Entrepreneur',4,5,1,4,3,2,3,0,5,1,0,4,Entrepreneurship,0,0,3,Positive,2,Neutral
4,Employed,4,1,2,3,5,4,4,1,5,2,1,5,'Data Science / ML / AI',1,0,3,Positive,1,Satisfied
4,Employed,5,4,2,1,5,3,2,1,5,2,1,3,'Web Developer',0,0,3,Positive,4,'Very Satisfied'
4,Employed,5,1,2,4,3,5,3,1,5,2,2,5,'Software Engineer',0,0,3,Neutral,5,Dissatisfied
7,Employed,2,4,3,2,1,5,2,1,5,1,1,4,'Web Developer',0,0,3,Positive,3,Satisfied
4,'Currently seeking a job',4,4,1,5,3,2,1,0,5,1,2,2,Entrepreneurship,0,2,3,Positive,4,Dissatisfied
6,Employed,5,2,3,5,1,4,3,1,5,2,2,4,'Networking / DevOps / Cloud',1,0,3,Positive,5,Neutral
1,'Higher studies',4,5,3,1,4,2,3,0,5,2,2,3,Academia,1,0,3,Positive,4,Satisfied
7,Employed,4,4,2,1,3,5,3,1,5,2,3,4,'Data Science / ML / AI',0,0,3,Neutral,4,Satisfied
7,Employed,4,3,2,5,1,4,1,1,5,2,0,3,Academia,0,0,3,Concerned,5,Satisfied
7,Employed,4,3,2,5,1,4,1,1,5,2,0,3,Academia,0,0,3,Concerned,5,Satisfied
0,'Currently seeking a job',3,1,1,1,2,2,4,0,4,2,1,3,'Software Engineer',0,1,2,Positive,4,Neutral
0,'Currently seeking a job',4,3,4,1,2,4,1,0,5,1,1,2,'Data Science / ML / AI',0,2,3,Positive,2,Neutral
0,'Currently seeking a job',1,3,2,2,1,1,1,0,4,1,2,3,'Software Engineer',0,2,3,Concerned,4,'Very Dissatisfied'
0,Employed,3,2,3,4,4,2,3,1,5,2,1,3,'Software Engineer',1,2,3,Concerned,3,Neutral
0,'Currently seeking a job',3,2,3,4,5,5,2,1,5,1,1,3,Cybersecurity,1,1,3,Positive,4,Satisfied
3,Employed,4,4,4,3,2,2,1,0,5,1,1,3,Academia,0,0,3,Concerned,4,Satisfied
3,Employed,3,1,4,5,3,2,1,0,5,0,2,4,'Software Engineer',1,1,3,Concerned,4,Dissatisfied
3,Employed,2,2,4,2,3,3,1,0,5,1,1,4,'Software Engineer',0,2,3,Positive,5,Dissatisfied
3,Employed,2,1,2,1,1,4,2,0,1,0,1,3,'Database Administration',0,0,3,Positive,3,'Very Satisfied'
1,Employed,0,1,1,3,3,1,3,1,5,1,0,3,Academia,0,1,3,Positive,4,'Very Satisfied'
3,Employed,5,5,4,3,1,2,3,1,5,2,3,4,'Software Engineer',1,2,3,Concerned,3,'Very Satisfied'
1,Employed,0,1,1,1,1,1,3,0,3,0,0,3,'Data Science / ML / AI',1,2,3,Positive,5,Dissatisfied
3,Employed,1,1,3,3,2,3,2,1,5,1,1,1,'Software Engineer',0,1,3,Concerned,3,Satisfied
1,Employed,5,4,3,5,2,1,1,0,5,2,1,3,Cybersecurity,1,2,2,Neutral,3,Satisfied
